Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Price per Unit,Units
1933,CA-2021-126634-CHO-FUD-51000,2021-12-20,2027-06-14,Second Class,126634,Canada,Vancouver,British Columbia,V5K,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,5
10054,CA-2024-126634-CHO-FUD-51000,2024-12-20,2030-06-14,Second Class,126634,Canada,Vancouver,British Columbia,V5K,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1
1176,CA-2021-153738-CHO-SCR-58000,2021-09-20,2027-03-15,First Class,153738,Canada,Toronto,Ontario,M2N,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,6
3253,CA-2022-153738-CHO-SCR-58000,2022-09-20,2028-03-14,First Class,153738,Canada,Toronto,Ontario,M2N,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,2
5784,CA-2023-153738-CHO-SCR-58000,2023-09-20,2029-03-14,First Class,153738,Canada,Toronto,Ontario,M2N,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,6
8806,CA-2024-153738-CHO-SCR-58000,2024-09-20,2030-03-15,First Class,153738,Canada,Toronto,Ontario,M2N,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,6
1084,CA-2021-126438-CHO-TRI-54000,2021-09-10,2027-03-06,First Class,126438,Canada,Montreal,Quebec,H1C,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,2
8652,CA-2024-126438-CHO-TRI-54000,2024-09-10,2030-03-06,First Class,126438,Canada,Montreal,Quebec,H1C,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1
4140,CA-2022-158792-CHO-FUD-51000,2022-12-26,2028-06-24,Standard Class,158792,Canada,Montreal,Quebec,H1A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,5
6781,CA-2023-158792-CHO-FUD-51000,2023-12-26,2029-06-24,Standard Class,158792,Canada,Montreal,Quebec,H1A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,5
1870,CA-2021-151799-CHO-MIL-31000,2021-12-14,2027-06-10,Standard Class,151799,Canada,Toronto,Ontario,M3C,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,2
1871,CA-2021-151799-CHO-SCR-58000,2021-12-14,2027-06-10,Standard Class,151799,Canada,Toronto,Ontario,M3C,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,6
1872,CA-2021-151799-CHO-MIL-31000,2021-12-14,2027-06-10,Standard Class,151799,Canada,Toronto,Ontario,M3C,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1
1873,CA-2021-151799-CHO-MIL-31000,2021-12-14,2027-06-10,Standard Class,151799,Canada,Toronto,Ontario,M3C,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,3
